Name	SWScore	BitScore	E-value	SeqIndex
"sp|Q80Z64|NANOG_MOUSE Homeobox protein NANOG OS=Mus musculus OX=10090 GN=Nanog PE=1 SV=1"	320.0	nan	0.00000E+00	272571
"sp|Q5TM83|NANOG_MUSMM Homeobox protein NANOG OS=Mus musculus molossinus OX=57486 GN=Nanog PE=2 SV=1"	311.0	nan	0.00000E+00	272572
"sp|A1YG92|NANG2_PANPA Putative homeobox protein NANOG2 OS=Pan paniscus OX=9597 GN=NANOGP1 PE=5 SV=1"	103.0	53	7.55209E-06	272448
"sp|A2T763|NANG2_PANTR Putative homeobox protein NANOG2 OS=Pan troglodytes OX=9598 GN=NANOGP1 PE=5 SV=1"	103.0	53	7.55209E-06	272449
"sp|Q3LTE0|NANOG_PANTR Homeobox protein NANOG OS=Pan troglodytes OX=9598 GN=NANOG PE=3 SV=1"	103.0	53	7.55209E-06	272573
"sp|Q9H9S0|NANOG_HUMAN Homeobox protein NANOG OS=Homo sapiens OX=9606 GN=NANOG PE=1 SV=2"	100.0	52	1.21798E-05	272569
"sp|Q6NSW7|NANP8_HUMAN Homeobox protein NANOGP8 OS=Homo sapiens OX=9606 GN=NANOGP8 PE=2 SV=2"	95.0	51	2.70140E-05	272575
"sp|Q8N7R0|NANG2_HUMAN Putative homeobox protein NANOG2 OS=Homo sapiens OX=9606 GN=NANOGP1 PE=5 SV=1"	94.0	51	3.16795E-05	272447
"sp|Q4JM65|NANOG_BOVIN Homeobox protein NANOG OS=Bos taurus OX=9913 GN=NANOG PE=2 SV=1"	93.0	51	3.71508E-05	272567
"sp|Q5TM84|NANOG_MACFA Homeobox protein NANOG OS=Macaca fascicularis OX=9541 GN=NANOG PE=2 SV=1"	87.0	49	9.66251E-05	272570
"sp|P0CA44|VF137_ASFK5 Structural protein A137R OS=African swine fever virus (isolate Pig/Kenya/KEN-50/1950) OX=561445 GN=Ken-054 PE=3 SV=1"	64.0	44	0.00376	522596
"sp|Q90WJ3|PAXI1_XENLA PAX-interacting protein 1 OS=Xenopus laevis OX=8355 GN=paxip1 PE=1 SV=1"	61.0	44	0.00605	305308
